title,local_identifier,path
ENA 2627.75,ENA 2627.75,/tmp/arranged/arranged/ENA/2627/075
ENA 2627.72,ENA 2627.72,/tmp/arranged/arranged/ENA/2627/072
ENA 2627.86,ENA 2627.86,/tmp/arranged/arranged/ENA/2627/086
ENA 2627.44,ENA 2627.44,/tmp/arranged/arranged/ENA/2627/044
ENA 2627.88,ENA 2627.88,/tmp/arranged/arranged/ENA/2627/088
ENA 2627.43,ENA 2627.43,/tmp/arranged/arranged/ENA/2627/043
ENA 2627.17,ENA 2627.17,/tmp/arranged/arranged/ENA/2627/017
ENA 2627.28,ENA 2627.28,/tmp/arranged/arranged/ENA/2627/028
ENA 2627.10,ENA 2627.10,/tmp/arranged/arranged/ENA/2627/010
ENA 2627.26,ENA 2627.26,/tmp/arranged/arranged/ENA/2627/026
ENA 2627.19,ENA 2627.19,/tmp/arranged/arranged/ENA/2627/019
ENA 2627.21,ENA 2627.21,/tmp/arranged/arranged/ENA/2627/021
ENA 2627.3,ENA 2627.3,/tmp/arranged/arranged/ENA/2627/003
ENA 2627.4,ENA 2627.4,/tmp/arranged/arranged/ENA/2627/004
ENA 2627.32,ENA 2627.32,/tmp/arranged/arranged/ENA/2627/032
ENA 2627.35,ENA 2627.35,/tmp/arranged/arranged/ENA/2627/035
ENA 2627.95,ENA 2627.95,/tmp/arranged/arranged/ENA/2627/095
ENA 2627.61,ENA 2627.61,/tmp/arranged/arranged/ENA/2627/061
ENA 2627.66,ENA 2627.66,/tmp/arranged/arranged/ENA/2627/066
ENA 2627.92,ENA 2627.92,/tmp/arranged/arranged/ENA/2627/092
ENA 2627.59,ENA 2627.59,/tmp/arranged/arranged/ENA/2627/059
ENA 2627.50,ENA 2627.50,/tmp/arranged/arranged/ENA/2627/050
ENA 2627.57,ENA 2627.57,/tmp/arranged/arranged/ENA/2627/057
ENA 2627.68,ENA 2627.68,/tmp/arranged/arranged/ENA/2627/068
ENA 2627.34,ENA 2627.34,/tmp/arranged/arranged/ENA/2627/034
ENA 2627.33,ENA 2627.33,/tmp/arranged/arranged/ENA/2627/033
ENA 2627.5,ENA 2627.5,/tmp/arranged/arranged/ENA/2627/005
ENA 2627.2,ENA 2627.2,/tmp/arranged/arranged/ENA/2627/002
ENA 2627.56,ENA 2627.56,/tmp/arranged/arranged/ENA/2627/056
ENA 2627.69,ENA 2627.69,/tmp/arranged/arranged/ENA/2627/069
ENA 2627.51,ENA 2627.51,/tmp/arranged/arranged/ENA/2627/051
ENA 2627.93,ENA 2627.93,/tmp/arranged/arranged/ENA/2627/093
ENA 2627.67,ENA 2627.67,/tmp/arranged/arranged/ENA/2627/067
ENA 2627.58,ENA 2627.58,/tmp/arranged/arranged/ENA/2627/058
ENA 2627.60,ENA 2627.60,/tmp/arranged/arranged/ENA/2627/060
ENA 2627.94,ENA 2627.94,/tmp/arranged/arranged/ENA/2627/094
ENA 2627.112,ENA 2627.112,/tmp/arranged/arranged/ENA/2627/112
ENA 2627.115,ENA 2627.115,/tmp/arranged/arranged/ENA/2627/115
ENA 2627.123,ENA 2627.123,/tmp/arranged/arranged/ENA/2627/123
ENA 2627.124,ENA 2627.124,/tmp/arranged/arranged/ENA/2627/124
ENA 2627.125,ENA 2627.125,/tmp/arranged/arranged/ENA/2627/125
ENA 2627.122,ENA 2627.122,/tmp/arranged/arranged/ENA/2627/122
ENA 2627.114,ENA 2627.114,/tmp/arranged/arranged/ENA/2627/114
ENA 2627.113,ENA 2627.113,/tmp/arranged/arranged/ENA/2627/113
ENA 3391.7,ENA 3391.7,/tmp/arranged/arranged/ENA/3391/007
ENA 3391.9,ENA 3391.9,/tmp/arranged/arranged/ENA/3391/009
ENA 3391.8,ENA 3391.8,/tmp/arranged/arranged/ENA/3391/008
ENA 3391.1,ENA 3391.1,/tmp/arranged/arranged/ENA/3391/001
ENA 3391.6,ENA 3391.6,/tmp/arranged/arranged/ENA/3391/006
